ACME FORMULATION PVT. LTD.,0.0012369712255689733,0.14604457957377062
AJANTA PHARMA LTD,0.0025782496224583426,0.34507968384014204
ANHUI CHENGSHI PHARMACEUTICALS CO. LTD,0.0042461638997215,0.34877397278934724
AS GRINDEKS,0.0003629665337864146,0.09291962365312173
BELCO PHARMA,0.31649742667200215,0.5321099840500686
BHARAT PARENTERALS LTD,0.019393820795337077,0.20810220556129205
BLISS GVS PHARMA LTD,0.0018336591783214508,0.14007762684106395
CIRON DRUGS & PHARMACEUTICALS LTD,0.003194154998388932,0.231404625999339
ESKAY THERAPEUTICS LTD,0.0033225407174494966,0.3703076976277222
FOR KRISHAY PHARMA LTD,0.003741189135604411,0.3396311552192342
FOR: NAZA PHARMACY LTD,0.006085876167568473,0.38261914544121
GB PHARMA LIMITED,0.0016290654424096164,0.31152422155211024
GENIX PHARMA PRIVATE LTD,0.00525435157913124,0.3598393842083248
GREENFIELD PHARMACEUTICALS,0.0014147693317068653,0.3308841381447705
GUILIN PHARMACEUTICALS,0.0011046259831558834,0.0873102959470435
HUBEI TIANYAO PHARMACEUTICALS CO LTD.,0.5264245676918382,0.9908241102897071
INDASI LIFESCIENCES,0.0013610328946579453,0.089076109450002
KILITCH DRUGS INDIA LTD,0.002728060965339192,0.366632853421468
KINAPHARMA LTD,0.0009258153870273043,0.10720731548171429
KREMOINT PHARMA PVT LTD,0.0013330018153675425,0.12190838617700304
LINCOLN PHARMACEUTICALS LTD,0.0009046221667093573,0.14701736894950362
MACIN REMEDIES INDIA LTD,0.018116931782750034,0.9445222613175605
MACLEODS PHARMACEUTICALS LTD,0.002286004801340935,0.2415231990158465
NORRIS MEDICINES LTD,0.004474284374139975,0.2827596237003028
NORTH CHINA PHARMACEUTICAL CO. LTD,0.02687112769964045,0.7532691169638506
NOVARTIS PHARMA,0.0014341844579967393,0.10489391659449618
PFIZER,0.00859424173098047,0.28889039664185007
PHARMANOVA LIMITED,0.0030138936564901107,0.3284455949322854
PHARMAX INDIA PVT LTD,0.001123907695663823,0.09970473872466479
PIRAMAL HEALTHCARE UK LIMITED,0.00045511427313799015,0.08298449215388014
PUSHKAR PHARMA,0.018289016621601727,0.9297783202327854
S. KANT HEALTHCARE LTD,0.0022823126458234038,0.21431253035483797
SAVILL PHARMA LABS PVT LTD,0.0027033134568304057,0.30827267641886674
SCILIFE PHARMA LTD,0.003443249521686636,0.3536657619074325
SHALINA LAB PVT LTD,0.0041076096616089325,0.21422273142241977
SHANDOND SHENGLU PHARMACEUTICAL CO.LTD.,0.08694966094295895,0.9881336151211237
SHANDONG YIKANG PHARMACEUTICAL CO. LTD,0.0022193858445743635,0.49331400003131587
SHANGHAI JUCHEN IMPORT AND EXPORT CO. LTD,0.0010540140760139632,0.17415917113915183
SHANXI SHUGUANG PHARM,0.6157874975594602,0.9799226686420678
THEMIS LABORATORIES PVT LTD,0.002447370543208182,0.1554624927813584
VELLINTON HEALTHCARE,0.0018310840700315892,0.22331967050546117
ABURA-ASEBU-KWAMANKESE,0.0016533355862871817,0.14847602421654663
ADANSI NORTH,0.00182403418253662,0.12823248340501447
ADANSI SOUTH,0.002856551632984551,0.27951740825925037
ADENTAN,0.0010971529868284535,0.08409173191844448
AGONA EAST,0.001878578853634053,0.15890460299283482
AGONA WEST,0.000663302913517782,0.10922780764139566
AHAFO-ANO NORTH,0.0016540665752077849,0.21323674593514988
AKWAPIM NORTH,0.0031253313490650927,0.17657773870245574
AKWAPIM SOUTH,0.0020808303504289104,0.20890247912666618
ASSIN NORTH,0.004472238713105463,0.3013035234803019
ASSIN SOUTH,0.001245326771324359,0.2703347465692478
ASUNAFO NORTH,0.02068812684294585,0.6509065849091132
ASUOGYAMAN,0.005808433718778549,0.31121625515974305
ASUTIFI SOUTH,0.025981541168029382,0.7409236864775673
ATIWA,0.005124742150541102,0.37977809810373014
AWUTU SENYA,0.0024684708279284987,0.1419297787669716
AWUTU SENYA EAST,0.0007070519079195218,0.10428015761055424
BEKWAI,0.0020837221434405616,0.31602621602923814
CAPE COAST,0.00712119785242385,0.11256854648943664
EAST AKIM,0.007062922216973665,0.5980235845346737
EFFUTU,0.0009327653039878493,0.08544509633299736
GOMOA EAST,0.0014016421903305422,0.16999028343944167
GOMOA WEST,0.0029200870270660604,0.14465730928022455
KMA,0.0006491626505288397,0.08019721792000332
KOMENDA-EDINA EGUAFO-ABIREM,0.006200281239825886,0.2781455061340974
KWAHU SOUTH,0.003179104898855113,0.4286050140889969
KWAHU WEST,0.0027148527706884803,0.4030911499558959
LOWER MANYA KROBO,0.004845431690606722,0.2602620469538332
MFANTSEMAN,0.0018496652449435324,0.12323055027454329
NEW-JUABENG,0.004083372845170048,0.34717081815620204
OBUASI,0.0013894821850772088,0.12589645792522383
SUHUM,0.0014955893979035017,0.1713095237262301
SUNYANI,0.0021789728471804694,0.2963915840940346
SUNYANI WEST,0.0036245895837331943,0.40215182272924815
